Passengers,PassengerId,Survived,Status,Pclass,Name,Sex,AgeNumber,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,0,Perished,3,"Braund, Mr. Owen Harris",Male,22,> 12 years old,1,0,A/5 21171,7.25,,S
1,2,1,Survived,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Female,38,> 12 years old,1,0,PC 17599,71.2833,C85,C
1,3,1,Survived,3,"Heikkinen, Miss. Laina",Female,26,> 12 years old,0,0,STON/O2. 3101282,7.925,,S
1,4,1,Survived,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Female,35,> 12 years old,1,0,113803,53.1,C123,S
1,5,0,Perished,3,"Allen, Mr. William Henry",Male,35,> 12 years old,0,0,373450,8.05,,S
1,7,0,Perished,1,"McCarthy, Mr. Timothy J",Male,54,> 12 years old,0,0,17463,51.8625,E46,S
1,8,0,Perished,3,"Palsson, Master. Gosta Leonard",Male,2,<= 12 years,3,1,349909,21.075,,S
1,9,1,Survived,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Female,27,> 12 years old,0,2,347742,11.1333,,S
1,10,1,Survived,2,"Nasser, Mrs. Nicholas (Adele Achem)",Female,14,> 12 years old,1,0,237736,30.0708,,C
1,11,1,Survived,3,"Sandstrom, Miss. Marguerite Rut",Female,4,<= 12 years,1,1,PP 9549,16.7,G6,S
1,12,1,Survived,1,"Bonnell, Miss. Elizabeth",Female,58,> 12 years old,0,0,113783,26.55,C103,S
1,13,0,Perished,3,"Saundercock, Mr. William Henry",Male,20,> 12 years old,0,0,A/5. 2151,8.05,,S
1,14,0,Perished,3,"Andersson, Mr. Anders Johan",Male,39,> 12 years old,1,5,347082,31.275,,S
1,15,0,Perished,3,"Vestrom, Miss. Hulda Amanda Adolfina",Female,14,> 12 years old,0,0,350406,7.8542,,S
1,16,1,Survived,2,"Hewlett, Mrs. (Mary D Kingcome) ",Female,55,> 12 years old,0,0,248706,16,,S
1,17,0,Perished,3,"Rice, Master. Eugene",Male,2,<= 12 years,4,1,382652,29.125,,Q
1,19,0,Perished,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Female,31,> 12 years old,1,0,345763,18,,S
1,21,0,Perished,2,"Fynney, Mr. Joseph J",Male,35,> 12 years old,0,0,239865,26,,S
1,22,1,Survived,2,"Beesley, Mr. Lawrence",Male,34,> 12 years old,0,0,248698,13,D56,S
1,23,1,Survived,3,"McGowan, Miss. Anna ""Annie""",Female,15,> 12 years old,0,0,330923,8.0292,,Q
1,24,1,Survived,1,"Sloper, Mr. William Thompson",Male,28,> 12 years old,0,0,113788,35.5,A6,S
1,25,0,Perished,3,"Palsson, Miss. Torborg Danira",Female,8,<= 12 years,3,1,349909,21.075,,S
1,26,1,Survived,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Female,38,> 12 years old,1,5,347077,31.3875,,S
1,28,0,Perished,1,"Fortune, Mr. Charles Alexander",Male,19,> 12 years old,3,2,19950,263,C23 C25 C27,S
1,31,0,Perished,1,"Uruchurtu, Don. Manuel E",Male,40,> 12 years old,0,0,PC 17601,27.7208,,C
1,34,0,Perished,2,"Wheadon, Mr. Edward H",Male,66,> 12 years old,0,0,C.A. 24579,10.5,,S
1,35,0,Perished,1,"Meyer, Mr. Edgar Joseph",Male,28,> 12 years old,1,0,PC 17604,82.1708,,C
1,36,0,Perished,1,"Holverson, Mr. Alexander Oskar",Male,42,> 12 years old,1,0,113789,52,,S
1,38,0,Perished,3,"Cann, Mr. Ernest Charles",Male,21,> 12 years old,0,0,A./5. 2152,8.05,,S
1,39,0,Perished,3,"Vander Planke, Miss. Augusta Maria",Female,18,> 12 years old,2,0,345764,18,,S
1,40,1,Survived,3,"Nicola-Yarred, Miss. Jamila",Female,14,> 12 years old,1,0,2651,11.2417,,C
1,41,0,Perished,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Female,40,> 12 years old,1,0,7546,9.475,,S
1,42,0,Perished,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Female,27,> 12 years old,1,0,11668,21,,S
1,44,1,Survived,2,"Laroche, Miss. Simonne Marie Anne Andree",Female,3,<= 12 years,1,2,SC/Paris 2123,41.5792,,C
1,45,1,Survived,3,"Devaney, Miss. Margaret Delia",Female,19,> 12 years old,0,0,330958,7.8792,,Q
1,50,0,Perished,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Female,18,> 12 years old,1,0,349237,17.8,,S
1,51,0,Perished,3,"Panula, Master. Juha Niilo",Male,7,<= 12 years,4,1,3101295,39.6875,,S
1,52,0,Perished,3,"Nosworthy, Mr. Richard Cater",Male,21,> 12 years old,0,0,A/4. 39886,7.8,,S
1,53,1,Survived,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Female,49,> 12 years old,1,0,PC 17572,76.7292,D33,C
